"pollution","dew","temp","press","wnd_dir","wnd_spd","snow","rain","Year","Month (number)","Hour"
56,21,24,1003,0,3.58,0,0,2014,7,12
64,21,25,1003,1,0.89,0,0,2014,7,13
66,21,25,1002,1,1.78,0,0,2014,7,14
72,21,26,1002,1,2.67,0,0,2014,7,15
78,21,26,1002,1,3.56,0,0,2014,7,16
78,21,26,1001,0,1.79,0,0,2014,7,17
84,22,25,1001,0,3.58,0,0,2014,7,18
98,21,24,1002,0,5.37,0,0,2014,7,19
110,21,24,1002,0,8.5,0,0,2014,7,20
114,21,24,1003,0,10.29,0,0,2014,7,21
101,21,23,1003,1,0.89,0,0,2014,7,22
111,21,23,1003,1,1.78,0,0,2014,7,23
110,21,23,1001,0,4.02,0,0,2014,7,0
134,21,23,1001,0,7.15,0,0,2014,7,1
169,21,23,1001,0,8.94,0,0,2014,7,2
190,21,23,1001,0,9.83,0,0,2014,7,3
214,21,23,1001,1,0.89,0,0,2014,7,4
239,22,23,1002,1,1.78,0,0,2014,7,5
250,22,23,1002,0,1.79,0,0,2014,7,6
259,22,23,1002,0,3.58,0,0,2014,7,7
263,22,24,1002,0,5.37,0,0,2014,7,8
280,22,25,1002,0,7.16,0,0,2014,7,9
277,22,26,1002,0,8.95,0,0,2014,7,10
274,22,27,1001,0,10.74,0,0,2014,7,11
256,22,28,1001,1,1.79,0,0,2014,7,12
232,22,28,1001,0,1.79,0,0,2014,7,13
212,22,28,1000,0,3.58,0,0,2014,7,14
177,22,29,999,0,5.37,0,0,2014,7,15
175,22,30,1000,0,8.5,0,0,2014,7,16
167,22,29,1000,0,10.29,0,0,2014,7,17
161,22,29,1000,0,13.42,0,0,2014,7,18
150,23,28,1001,0,15.21,0,0,2014,7,19
153,22,28,1000,0,18.34,0,0,2014,7,20
206,23,26,1001,1,0.89,0,0,2014,7,21
237,23,25,1001,1,1.78,0,0,2014,7,22
250,23,25,1002,1,2.67,0,0,2014,7,23
295,23,25,1002,0,1.79,0,0,2014,7,0
291,23,24,1002,3,0.89,0,0,2014,7,1
299,23,24,1002,2,0.89,0,0,2014,7,2
303,23,24,1002,2,1.78,0,0,2014,7,3
293,22,24,1003,2,2.67,0,0,2014,7,4
281,22,24,1004,2,3.56,0,0,2014,7,5
259,23,24,1004,2,6.69,0,0,2014,7,6
226,23,25,1004,2,9.82,0,0,2014,7,7
201,22,26,1005,3,1.79,0,0,2014,7,8
185,22,28,1005,2,3.13,0,0,2014,7,9
153,23,30,1005,1,0.89,0,0,2014,7,10
145,23,31,1005,1,1.78,0,0,2014,7,11
152,22,32,1005,1,3.57,0,0,2014,7,12
137,23,31,1004,1,5.36,0,0,2014,7,13
137,23,34,1004,1,7.15,0,0,2014,7,14
139,23,33,1004,0,4.02,0,0,2014,7,15
178,23,32,1004,0,8.04,0,0,2014,7,16
200,24,30,1004,0,12.06,0,0,2014,7,17
213,23,29,1005,0,16.98,0,0,2014,7,18
148,22,28,1005,0,21,0,0,2014,7,19
194,22,27,1005,0,22.79,0,0,2014,7,20
172,21,26,1007,0,25.92,0,0,2014,7,21
151,22,26,1007,0,27.71,0,0,2014,7,22
156,22,25,1007,3,1.79,0,0,2014,7,23
168,22,25,1007,0,0.89,0,0,2014,7,0
172,21,24,1007,1,0.89,0,0,2014,7,1
174,21,23,1007,1,1.78,0,0,2014,7,2
169,21,24,1007,1,2.67,0,0,2014,7,3
158,21,23,1007,1,3.56,0,0,2014,7,4
152,21,23,1007,0,1.79,0,0,2014,7,5
149,22,23,1007,3,0.89,0,0,2014,7,6
148,22,24,1008,0,1.79,0,0,2014,7,7
125,22,25,1008,0,3.58,0,0,2014,7,8
112,23,26,1008,0,5.37,0,0,2014,7,9
105,23,27,1008,0,8.5,0,0,2014,7,10
114,23,29,1008,0,10.29,0,0,2014,7,11
96,22,29,1007,0,12.08,0,0,2014,7,12
80,22,30,1007,0,15.21,0,0,2014,7,13
71,22,31,1006,0,18.34,0,0,2014,7,14
67,22,31,1006,0,21.47,0,0,2014,7,15
74,21,31,1005,1,4.02,0,0,2014,7,16
70,21,31,1005,0,4.02,0,0,2014,7,17
77,21,30,1005,0,7.15,0,0,2014,7,18
77,22,29,1005,0,11.17,0,0,2014,7,19
91,22,28,1005,0,12.96,0,0,2014,7,20
107,22,27,1006,0,14.75,0,0,2014,7,21
157,22,27,1006,0,15.64,0,0,2014,7,22
184,23,26,1006,0,17.43,0,0,2014,7,23
182,23,26,1006,0,20.56,0,0,2014,7,0
207,23,26,1005,0,23.69,0,0,2014,7,1
233,23,25,1005,0,25.48,0,0,2014,7,2
212,23,25,1005,0,28.61,0,0,2014,7,3
209,22,24,1005,0,30.4,0,0,2014,7,4
237,22,24,1005,0,33.53,0,0,2014,7,5
252,23,24,1006,0,35.32,0,0,2014,7,6
233,23,25,1006,0,37.11,0,0,2014,7,7
240,22,25,1006,0,40.24,0,0,2014,7,8
218,23,26,1006,0,42.03,0,0,2014,7,9
217,22,27,1006,0,43.82,0,0,2014,7,10
196,23,28,1006,0,46.95,0,0,2014,7,11
180,23,29,1005,0,50.08,0,0,2014,7,12
157,23,30,1005,0,51.87,0,0,2014,7,13
153,23,30,1004,0,55,0,0,2014,7,14
153,24,30,1004,0,58.13,0,0,2014,7,15
150,24,30,1004,0,62.15,0,0,2014,7,16
158,24,30,1003,0,66.17,0,0,2014,7,17
168,23,30,1003,0,69.3,0,0,2014,7,18
167,23,29,1004,0,72.43,0,0,2014,7,19
184,23,28,1004,0,74.22,0,0,2014,7,20
194,23,28,1005,0,76.01,0,0,2014,7,21
181,23,27,1005,0,79.14,0,0,2014,7,22
153,23,27,1005,0,80.93,0,0,2014,7,23
139,22,26,1004,0,82.72,0,0,2014,7,0
133,22,25,1005,0,84.51,0,0,2014,7,1
130,21,25,1005,0,86.3,0,0,2014,7,2
116,21,25,1005,1,0.89,0,0,2014,7,3
114,21,24,1005,1,1.78,0,0,2014,7,4
99,21,24,1005,0,1.79,0,0,2014,7,5
94,21,24,1005,0,3.58,0,0,2014,7,6
84,22,25,1005,0,6.71,0,0,2014,7,7
80,22,26,1005,0,9.84,0,0,2014,7,8
80,22,27,1004,0,12.97,0,0,2014,7,9
88,22,28,1004,0,14.76,0,0,2014,7,10
103,22,29,1004,0,16.55,0,0,2014,7,11
132,23,30,1003,0,19.68,0,0,2014,7,12
151,23,31,1002,0,22.81,0,0,2014,7,13
165,23,31,1002,0,27.73,0,0,2014,7,14
182,23,30,1001,0,32.65,0,0,2014,7,15
191,23,31,1001,0,35.78,0,0,2014,7,16
193,23,31,1000,0,40.7,0,0,2014,7,17
192,23,31,1000,0,43.83,0,0,2014,7,18
189,23,29,1000,0,46.96,0,0,2014,7,19
188,22,28,1000,0,50.09,0,0,2014,7,20
223,22,28,1001,0,53.22,0,0,2014,7,21
239,22,27,1000,0,56.35,0,0,2014,7,22
235,21,27,1000,0,58.14,0,0,2014,7,23
196,21,27,1001,1,0.89,0,0,2014,7,0
180,21,26,1000,0,1.79,0,0,2014,7,1
192,21,25,1000,1,0.89,0,0,2014,7,2
187,21,25,1000,3,1.79,0,0,2014,7,3
164,21,24,1000,1,0.89,0,0,2014,7,4
156,22,24,1000,1,1.78,0,0,2014,7,5
163,21,25,1001,2,0.89,0,0,2014,7,6
144,22,26,1002,3,1.79,0,0,2014,7,7
137,21,27,1002,3,3.58,0,0,2014,7,8
131,22,28,1002,3,5.37,0,0,2014,7,9
115,20,30,1003,2,4.92,0,0,2014,7,10
68,20,32,1003,3,3.13,0,0,2014,7,11
26,15,34,1003,2,5.81,0,0,2014,7,12
16,17,34,1002,2,10.73,0,0,2014,7,13
15,16,32,1002,3,4.02,0,0,2014,7,14
10,14,32,1002,2,3.13,0,0,2014,7,15
13,14,32,1002,3,3.13,0,0,2014,7,16
11,14,32,1002,2,1.79,0,0,2014,7,17
8,17,30,1002,0,0.89,0,0,2014,7,18
10,17,29,1002,0,1.78,0,0,2014,7,19
16,18,28,1003,0,2.67,0,0,2014,7,20
49,17,26,1004,1,0.89,0,0,2014,7,21
45,19,24,1004,1,1.78,0,0,2014,7,22
42,19,24,1004,1,2.67,0,0,2014,7,23
55,20,23,1004,3,0.89,0,0,2014,7,0
53,19,24,1004,3,1.78,0,0,2014,7,1
85,18,23,1004,2,1.79,0,0,2014,7,2
37,18,23,1004,2,3.58,0,0,2014,7,3
19,18,22,1005,2,6.71,0,0,2014,7,4
21,18,22,1005,2,8.5,0,0,2014,7,5
16,17,22,1005,2,11.63,0,0,2014,7,6
17,17,24,1005,2,14.76,0,0,2014,7,7
17,16,25,1006,2,17.89,0,0,2014,7,8
16,15,27,1006,2,22.81,0,0,2014,7,9
11,15,28,1006,3,3.13,0,0,2014,7,10
11,13,30,1006,3,7.15,0,0,2014,7,11
14,14,30,1005,2,3.13,0,0,2014,7,12
9,13,31,1004,3,1.79,0,0,2014,7,13
8,12,31,1004,3,3.58,0,0,2014,7,14
10,12,31,1003,1,0.89,0,0,2014,7,15
14,14,30,1003,0,1.79,0,0,2014,7,16
14,16,30,1003,1,0.89,0,0,2014,7,17
22,13,30,1002,0,3.13,0,0,2014,7,18
32,13,30,1002,0,7.15,0,0,2014,7,19
36,15,30,1002,0,8.94,0,0,2014,7,20
29,14,30,1002,0,12.07,0,0,2014,7,21
31,14,29,1002,0,13.86,0,0,2014,7,22
35,17,29,1002,2,1.79,0,0,2014,7,23
34,19,24,1002,2,2.68,0,0,2014,7,0
28,19,24,1001,3,0.89,0,0,2014,7,1
52,19,23,1001,1,0.89,0,0,2014,7,2
70,19,22,1001,3,0.89,0,0,2014,7,3
52,18,22,1001,2,0.89,0,0,2014,7,4
39,18,21,1001,2,2.68,0,0,2014,7,5
31,19,22,1001,2,4.47,0,0,2014,7,6
25,17,25,1002,2,7.6,0,0,2014,7,7
25,17,28,1002,2,10.73,0,0,2014,7,8
28,14,31,1001,2,12.52,0,0,2014,7,9
28,14,33,1001,2,14.31,0,0,2014,7,10
25,14,34,1001,1,1.79,0,0,2014,7,11
15,12,35,1000,0,1.79,0,0,2014,7,12
17,10,36,999,0,3.58,0,0,2014,7,13
18,11,37,998,0,7.6,0,0,2014,7,14
35,11,38,998,0,11.62,0,0,2014,7,15
17,12,37,998,0,16.54,0,0,2014,7,16
17,12,36,997,0,21.46,0,0,2014,7,17
18,13,35,997,0,26.38,0,0,2014,7,18
24,13,34,997,0,31.3,0,0,2014,7,19
28,14,32,998,0,36.22,0,0,2014,7,20
31,15,31,998,0,41.14,0,0,2014,7,21
40,15,30,998,0,46.95,0,0,2014,7,22
42,16,29,999,0,48.74,0,0,2014,7,23
48,16,27,998,0,49.63,0,0,2014,7,0
52,18,25,998,1,0.89,0,0,2014,7,1
53,18,23,998,1,1.78,0,0,2014,7,2
58,18,22,999,3,0.89,0,0,2014,7,3
58,19,22,999,3,2.68,0,0,2014,7,4
64,18,23,1000,2,1.79,0,0,2014,7,5
61,18,23,1000,2,4.92,0,0,2014,7,6
41,15,28,1000,2,8.94,0,0,2014,7,7
35,14,29,1001,3,4.02,0,0,2014,7,8
18,13,31,1001,3,8.04,0,0,2014,7,9
11,13,32,1001,3,11.17,0,0,2014,7,10
13,14,33,1000,1,0.89,0,0,2014,7,11
12,14,34,1000,3,3.13,0,0,2014,7,12
9,14,35,999,0,3.13,0,0,2014,7,13
9,14,36,999,3,4.92,0,0,2014,7,14
16,12,34,999,2,4.02,0,0,2014,7,15
13,13,35,999,3,3.13,0,0,2014,7,16
16,13,35,999,1,0.89,0,0,2014,7,17
9,14,34,999,0,1.79,0,0,2014,7,18
18,14,32,999,0,4.92,0,0,2014,7,19
28,16,28,1000,1,0.89,0,0,2014,7,20
32,17,27,1000,1,1.78,0,0,2014,7,21
33,17,27,1001,1,2.67,0,0,2014,7,22
35,18,26,1001,1,3.56,0,0,2014,7,23
46,14,28,1002,3,3.13,0,0,2014,7,0
19,14,27,1002,1,0.89,0,0,2014,7,1
21,16,24,1002,3,1.79,0,0,2014,7,2
9,13,26,1003,3,5.81,0,0,2014,7,3
12,11,26,1003,3,9.83,0,0,2014,7,4
9,12,24,1003,3,13.85,0,0,2014,7,5
10,12,25,1003,3,16.98,0,0,2014,7,6
12,13,26,1004,3,21,0,0,2014,7,7
10,12,27,1004,3,25.02,0,0,2014,7,8
10,12,28,1004,3,29.04,0,0,2014,7,9
9,12,30,1004,3,33.96,0,0,2014,7,10
7,12,31,1004,3,37.98,0,0,2014,7,11
6,11,32,1003,3,42,0,0,2014,7,12
0,11,33,1002,3,45.13,0,0,2014,7,13
0,10,33,1001,0,3.13,0,0,2014,7,14
0,10,34,1001,0,7.15,0,0,2014,7,15
0,10,34,1000,0,10.28,0,0,2014,7,16
0,10,34,1000,0,13.41,0,0,2014,7,17
12,11,33,1000,0,15.2,0,0,2014,7,18
17,12,31,1000,0,18.33,0,0,2014,7,19
16,12,29,1001,0,20.12,0,0,2014,7,20
19,11,30,1002,1,1.79,0,0,2014,7,21
22,12,31,1002,0,1.79,0,0,2014,7,22
20,15,27,1003,0,3.58,0,0,2014,7,23
36,16,24,1003,0,4.47,0,0,2014,7,0
35,15,23,1002,2,3.13,0,0,2014,7,1
30,15,25,1002,3,3.13,0,0,2014,7,2
13,15,22,1003,2,3.13,0,0,2014,7,3
19,14,21,1003,2,6.26,0,0,2014,7,4
20,14,22,1003,3,3.13,0,0,2014,7,5
18,15,25,1003,1,0.89,0,0,2014,7,6
17,14,26,1004,2,4.02,0,0,2014,7,7
17,13,28,1004,2,7.15,0,0,2014,7,8
10,14,29,1004,3,3.13,0,0,2014,7,9
13,13,32,1003,2,3.13,0,0,2014,7,10
13,13,34,1003,2,6.26,0,0,2014,7,11
10,12,34,1002,2,9.39,0,0,2014,7,12
10,11,35,1001,1,3.13,0,0,2014,7,13
12,12,36,1001,1,4.92,0,0,2014,7,14
11,12,36,1000,1,6.71,0,0,2014,7,15
9,14,31,1001,2,11.18,0,1,2014,7,16
20,12,32,1000,2,16.1,0,2,2014,7,17
21,14,30,1000,0,3.13,0,0,2014,7,18
20,15,30,1001,0,6.26,0,0,2014,7,19
26,17,26,1001,3,0.89,0,0,2014,7,20
35,17,25,1002,1,0.89,0,0,2014,7,21
58,17,24,1002,1,1.78,0,0,2014,7,22
45,18,23,1002,1,2.67,0,0,2014,7,23
50,17,23,1003,2,1.79,0,0,2014,7,0
58,18,22,1002,1,0.89,0,0,2014,7,1
44,18,22,1002,2,0.89,0,0,2014,7,2
46,17,21,1002,2,2.68,0,0,2014,7,3
31,17,21,1002,2,3.57,0,0,2014,7,4
23,17,20,1003,2,6.7,0,0,2014,7,5
21,17,22,1003,2,9.83,0,0,2014,7,6
24,17,24,1003,2,11.62,0,0,2014,7,7
19,16,27,1003,3,3.13,0,0,2014,7,8
22,16,29,1003,3,6.26,0,0,2014,7,9
18,14,31,1003,3,9.39,0,0,2014,7,10
19,14,33,1003,1,1.79,0,0,2014,7,11
21,14,34,1002,1,3.58,0,0,2014,7,12
22,15,35,1002,0,3.13,0,0,2014,7,13
29,14,35,1002,0,7.15,0,0,2014,7,14
36,14,36,1001,0,10.28,0,0,2014,7,15
39,15,36,1001,0,13.41,0,0,2014,7,16
36,15,36,1000,0,16.54,0,0,2014,7,17
42,15,35,1001,0,19.67,0,0,2014,7,18
38,18,32,1001,0,20.56,0,0,2014,7,19
36,18,29,1001,1,0.89,0,0,2014,7,20
30,15,31,1002,2,5.81,0,0,2014,7,21
15,13,29,1002,3,4.02,0,0,2014,7,22
19,16,28,1002,3,7.15,0,0,2014,7,23
30,17,28,1003,0,3.13,0,0,2014,7,0
60,17,27,1005,0,10.28,0,0,2014,7,1
40,15,26,1004,0,18.33,0,0,2014,7,2
29,15,26,1004,0,23.25,0,0,2014,7,3
35,15,25,1004,0,26.38,0,0,2014,7,4
40,16,24,1004,0,30.4,0,0,2014,7,5
42,17,23,1004,1,0.89,0,0,2014,7,6
37,16,25,1004,1,1.78,0,0,2014,7,7
44,17,26,1004,2,3.13,0,0,2014,7,8
49,17,27,1004,3,1.79,0,0,2014,7,9
50,18,29,1004,0,3.13,0,0,2014,7,10
52,18,30,1004,0,7.15,0,0,2014,7,11
50,17,31,1004,0,10.28,0,0,2014,7,12
52,17,31,1004,0,15.2,0,0,2014,7,13
50,17,31,1003,0,20.12,0,0,2014,7,14
55,17,32,1003,0,24.14,0,0,2014,7,15
57,17,32,1002,0,29.06,0,0,2014,7,16
45,17,32,1002,0,33.98,0,0,2014,7,17
