AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
1.67,871627.58,127014.67,266648.5,4597.27,473367.14,359599.26,113767.88,0.0,organic,2016,TotalUS
1.52,1103488.85,144991.21,334671.53,3481.85,620344.26,438024.44,182319.82,0.0,organic,2016,TotalUS
1.54,1052088.77,137842.79,344378.75,4653.04,565214.19,415589.66,149624.53,0.0,organic,2016,TotalUS
1.49,948530.88,135742.77,316907.28,5110.77,490770.06,345580.78,145189.28,0.0,organic,2016,TotalUS
1.51,1033169.7,177591.96,308314.91,5831.02,541431.81,458921.84,82509.97,0.0,organic,2016,TotalUS
1.48,1093287.79,186697.3,341463.72,10231.17,554895.6,459261.24,95634.36,0.0,organic,2016,TotalUS
1.55,1012237.01,151179.99,332421.63,10707.18,517928.21,313872.28,204055.93,0.0,organic,2016,TotalUS
1.58,946087.81,156417.33,328942.12,9035.27,451693.09,320652.23,131040.86,0.0,organic,2016,TotalUS
1.65,919489.84,159151.31,343780.56,8612.44,407945.53,329530.26,78415.27,0.0,organic,2016,TotalUS
1.63,1018118.27,152828.51,359772.18,9957.61,495559.97,346531.83,149028.14,0.0,organic,2016,TotalUS
1.51,1043428.53,152994.7,355101.22,12180.53,523152.08,379451.98,143700.1,0.0,organic,2016,TotalUS
1.47,1073595.37,159903.0,381527.15,11897.11,520268.11,350794.25,169473.86,0.0,organic,2016,TotalUS
1.5,1007378.78,171054.38,391129.07,6763.46,438431.87,310467.62,127964.25,0.0,organic,2016,TotalUS
1.45,1071066.66,166983.45,445194.49,12052.84,446835.88,302393.63,144442.25,0.0,organic,2016,TotalUS
1.45,975275.55,176286.36,403561.49,8626.89,386800.81,279246.87,107553.94,0.0,organic,2016,TotalUS
1.43,1012717.93,152105.91,410451.71,7817.11,442343.2,310881.84,131461.36,0.0,organic,2016,TotalUS
1.41,1085152.56,137449.41,468311.32,13698.09,465693.74,349592.45,116101.29,0.0,organic,2016,TotalUS
1.36,1165715.01,166883.21,455336.56,15807.85,527687.39,370815.25,156872.14,0.0,organic,2016,TotalUS
1.45,1023252.17,146037.3,437584.52,8120.53,431509.82,309561.79,121948.03,0.0,organic,2016,TotalUS
1.3,1137940.78,132225.28,443777.31,26765.78,535172.41,319417.49,215754.92,0.0,organic,2016,TotalUS
1.28,1317867.0,238992.91,484383.87,22276.6,572213.62,368709.06,203504.56,0.0,organic,2016,TotalUS
1.25,1475457.53,225429.09,524511.95,8687.81,716828.68,555986.43,160842.25,0.0,organic,2016,TotalUS
1.38,1022217.32,115155.65,388081.34,7878.94,511101.39,352484.76,158616.63,0.0,organic,2016,TotalUS
1.26,1179603.03,108747.34,400281.85,12154.73,658419.11,368458.82,289960.29,0.0,organic,2016,TotalUS
1.44,930722.39,119283.9,371845.6,8628.68,430964.21,289504.38,141459.83,0.0,organic,2016,TotalUS
1.44,900644.79,112620.05,338194.18,7738.95,442091.61,263938.32,178153.29,0.0,organic,2016,TotalUS
